,id,qid1,qid2,question1,question2,is_duplicate
121251,121251,240284,240285,I don't know why database commonly store data with encoding byte?,"As an aspiring fiction writer, what should I avoid doing? What can help me keep my story on track?",0
284443,284443,559056,559057,What is RELAP code?,What is code six?,0
298557,298557,586418,586419,Were there riots when Obama won?,What was the digital agency behind Mailchimp ?,0
107656,107656,213506,213507,Why does one use dual power supply in op amps?,"What happens if you provide a dual supply op-amp (+/- Vs), e.g. TI OPA 656 with only a single supply (Vs and GND)?",0
334854,334854,656542,656543,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise 700 Printer M712dn?,How does the HP OfficeJet 4620 Airprint compare to the HP DeskJet 1112 Printer?,1
77356,77356,153695,153696,Which are the best ranked SPP colleges in Canada?,What are the good PGDM courses under SPP of Canada?,0
52687,52687,104845,104846,Where can I find a list of companies in the US who sponsor for H1B visas for recruiters?,Where can I find a list of companies in india who sponsor for H1B visas?,0
232366,232366,457831,457832,How do I prepare for regional rural banks?,How are the jobs of Regional Rural banks under officer Cadre?,0
215514,215514,424965,424966,How do I collect movie tickets booked on BookMyShow?,Where do I get free movie ticket except book my show?,0
306366,306366,601510,601511,How can one tackle the increasing air pollution in Delhi?,What can I do as an individual to control pollution in Delhi?,1
306645,306645,602048,602049,What is the best gift parents can give to?,What's the best gift parents can give to their children?,0
65248,65248,129739,129740,Why does too much food make you fat?,Does eating fat actually make you fat?,0
351047,351047,687705,687706,What are the best universities in Dubai?,Which are the best universities in Dubai?,1
108338,108338,214856,214857,How can I use khan academy?,How useful are Khan Academy's courses?,0
153162,153162,302944,302945,How should I improve my english communication skills?,How can I improve my communication skill and English proficiency?,1
194788,194788,384481,384482,What is flixcart.com?,What is ttspor.com?,0
123384,123384,244495,244496,Are jealousy and ambition the same thing?,Is it a bad thing to have no ambition in life?,0
370871,370871,725743,725744,What is the best event management college in india?,Which is the best event management institute in india?,1
356845,356845,698834,698835,"I want to pursue MS in USA but i have a gap of two years in between that is i complete engineering in 6 years, Also i had 17 backlogs many repeated?",I have a CGPA of 7.7 and I'm currently in a dilemma whether to pursue an MS or an MBA. I'm a mechanical engineer (in 4th year)! I'm not that into the technical know-how and have very little technical knowledge. Will I be able to survive the MS programme in mechanical engineering in the USA?,0
289015,289015,567909,567910,What causes freckles and moles,What causes freckles and moles?,1
310725,310725,609959,609960,How can I be good at maths? How can I get A at maths?,How can I be good at math?,0
237683,237683,468213,468214,"As a future journalist/writer, is it better if I do undergraduate in the UK and then postgraduate in the USA or the opposite?","I am studying undergraduate psychology in India. Would it be almost impossible for me to get into a masters program in psychology in the USA, Australia, UK or Singapore without work experience - as soon as I finish my BA?",0
215875,215875,425669,425670,"If carbon fiber is stronger than steel,why we do not use it instead of steel in our dailylife?",How much lighter is carbon fiber than steel and aluminium?,0
316004,316004,620117,620118,How can you incorporate several religious traditions into one belief system? Is there people who do this? Can two opposing ideas both be true?,Is there any religion that combines all existing religions?,0
34860,34860,69467,69468,"Is ""I really appreciate your time"" correct or not?","What is the difference between ""In time and on time""? Which one is correct?",0
307608,307608,603900,603901,Is imo video call saved on server or can anyone watch live?,Can a IMO call can be seen by others without the concert of the particular persons using the video call?,0
22267,22267,44427,44428,Why am I not able to do anything alone?,Why am I not able to do anything?,0
329620,329620,646420,646421,How can I break into a secured wifi?,How do I can hack wifi?,1
346535,346535,679054,679055,A married colleague and I have gone out for drinks/dinner 6 times. We mostly talk about business. Is he being nice or is he interested in me?,"I have been married almost 15 years. We have two children, 11 and 8. My childhood was horrible, seven years of sexual, physical, and mental/emotional abuse followed by instability and low self esteem issues as a teen. My husband met me after I began dealing with my childhood and knew all about my issues. He knew what would end our marriage, yet he did it and lied about it multiple times. I was pregnant and did not leave. We tried to make it work. We had another child. We have been through MANY ""situations"" in our marriage and as parents. For the past 6-8 years we have just been living as parents. Not lovers. In the past I tried everything to make our marriage work. I finally decided to be done with it. Now he says he loves me and wants to make it work. But he is manipulative and can be so mean. He uses my children to cause me pain and stress. He knows that they are the only reason I stay. We are in counciling, but I really have no ""love"" feelings for him. I told him I want a divorce, but he won't give me one. He has said he will make my life miserable until the 18 months of separation are up and divorce is granted. Any advice? I'm ready to run away...",0
115892,115892,229733,229734,How do I change my primary email on Quora?,How can I change my primary email address on Quora?,1
314299,314299,616833,616834,How do I get into my Instagram if I forgot my email and my Facebook password?,Is it possible to login to Facebook without password?,1
118924,118924,235700,235701,How do you learn advanced English well?,How can I speak advanced English?,0
28211,28211,56250,56251,What song plays over the end credits to the 2002 movie Cypher?,What song plays over the end credits to the 2002 movie The Eye?,0
284792,284792,559731,559732,What is the most valuable thing in your career?,What is the most valuable thing you can share?,0
99057,99057,196583,196584,How frequently can I have chicken livers safely?,Is it safe for dogs to eat chicken? Why or why not?,0
333612,333612,654138,654139,How do I hire a legit hacker?,How do I contact a hacker?,1
270474,270474,531973,531974,What are different types of seismic waves? How do they differ?,What are seismic waves? What are some different types?,1
208802,208802,411887,411888,How can you use tempura batter with soda water?,Can you use soda water in a tempura batter?,0
105830,105830,209906,209907,What is the programming language to learn?,What are some programming languages that I should learn?,1
132954,132954,263314,263315,Why is dark energy the leading theory for why the universe is expanding?,Why does dark energy expand universe?,1
198424,198424,391606,391607,Which is the most suitable winter jacket and sweatshirt for Himalayan winters?,"How do I wear knee length dresses in winter? I mean, can I pair it with leggings and a pair of boots and a jacket/blazer?",0
77691,77691,154357,154358,How rare is a good singing voice?,How did Carly Rare Jepsen get into singing?,0
315565,315565,619269,452796,"Why do big business houses like Adani, Reliance, etc. keep getting loans from banks despite already being under a huge pile of debt?","Why is the US banking industry still dominated by the too big to fail banks which are carrying huge amounts of bad subprime mortgage debt, and why haven't new small retail banks sprung up which are not carrying bad debt to serve local customer and business needs?",0
361758,361758,708266,708267,What is your best Fantasy Football story?,What are some good Fantasy Football Names?,0
179163,179163,353895,353896,Does Singapore have the capability of invading and colonising its neighbouring countries like Indonesia and Malaysia?,"If Singapore and Malaysia go to war, which country will emerge victorious?",0
26793,26793,53429,53430,What's your favorite animal?,What is your favorite animal? Why?,1
353857,353857,693089,693090,Who owns wikiasked.com?,Who owns FinViz.com?,0
156801,156801,310087,310088,Why does God ignore the daily hurting prayers of innocent children who are being abused?,Why did God have to kill innocent slaves and children because he wanted to test Job in the Bible?,0
86123,86123,171036,171037,"Why is the TV show ""Empire"" so successful?",Is there any thickness variation between seam and seamless pipe?,0
104799,104799,207875,207876,What of we made captain America shield with New Magnesium based alloy?,"My rank is 1434 in CDAC, and after 1st round I got Vita Mumbai, should I be able get Banglore kp in 2nd round, I have opted for dac?",0
353061,353061,691557,691558,How was the Roman world similar to the feudal world?,"Do you create documentation (""how to use"") for a customer WordPress or Joomla website?",0
176819,176819,349302,349303,"In Hong Kong, in residential apartments, is the ""toilet flush"" water supply unmetered and entirely free (separate to the freshwater) supply?","Is residential ""saltwater"" toilet flush water supply free in the Hong Kong SAR?",1
207725,207725,409785,266595,Is Quora slow?,Why is Quora so slow?,0
142159,142159,281378,281379,What are some of the effects of education can you find on a society?,What are the effects of education on society?,1
204697,204697,403863,403864,When will episode 278 of fairy tail come out?,Is there any wizard stronger than Zeref in Fairy Tail?,0
255345,255345,502607,502608,How do I start my little project to become successful?,How do I start a successful project?,0
79019,79019,156975,156976,What is SSLC marksheet number in up board?,What happened with Debbie Wasserman-Schultz? Is she done with the Democrat Party?,0
8210,8210,16400,16401,"If MIT is asking me to give information about my finances for financial aid, does it means that I have been accepted?",Is it ok if my partner wants to talk about someone else doing me and dating me while having phone sex? Does it mean that he does not love me as he is not possessive about me?,0
286481,286481,562997,562998,Who will be the Next PM of India after Modi?,Who will be next PM in India?,1
78329,78329,155614,155615,Does it mean he doesn't like me?,What are some jacket manufacturers in the USA?,0
174698,174698,345145,345146,Who are the most powerful anchors at Fox News?,Why does it seem like so many people hate Fox News when it's the most watched cable news network in America?,0
292793,292793,161515,575218,How should I calculate deduction for unpaid days off for salaried employees?,"For companies offering unlimited days off, how do they handle payout of days off during the transition out of an employee?",0
400913,400913,783202,783203,"My US Immigrant Visa (I-140) just got approved, what now?",I'm on H1B visa with approved I-140.I got laid off today.I'm also Canadian Permanent Resident.Will USCIS approve my B1/B2 visitor visa if I apply now?,0
228319,228319,449945,449946,What are some examples of scanners being input devices?,What are five examples of input devices of computer?,0
378417,378417,740175,740176,How can an unarmed man defend himself against a large vicious attacking dog?,How can one defend oneself against an aggressive dog?,1
67241,67241,133682,133683,What are the best songs for a road trip playlist?,What are the best road trip songs?,0
269639,269639,530355,530356,Where can I catch a munchlax in Pokémon sun and moon?,What rare Pokémon can I catch in Pokémon Sun?,0
301849,301849,592794,592795,What will be the effect of banning 500 and 1000 notes on gold rate and real estate?,What will be the impact on real estate by banning 500 and 1000 rupee notes from India?,1
